,Course Code,Course Title,Description,Curriculum Category
10,CLM725A,Social Media for FWS Employees,"This online, self-paced course is designed to provide you with an overview of how social media can be used effectively in the Service and to helpthose of you who want to start and manage social media accounts for your FWS office or program. This course will explain various policies relatingto online content and comments, photographs, and photo ownership, as well as guidelines for captioning videos to ensure Section 508 compliancy.Course Objectives:Upon completion of this course, you should be able to:• Know how social media is structured in the Service• Understand why the Service is using social media and its advantages• Understand and follow the FWS Online Content Policy• Deal with common issues (privacy and permissions) that come up when taking photographs of others, such as FWS employees and children• Follow guidelines for photo ownership (copyrights) and use• Follow guidelines for captioning videos to ensure Section 508 compliancyTarget Audience:FWS employees who want to start and manage FWS social media accountsTo take the course, follow the steps below :1. Click either the course name at the top of this description or the Details button to view the Details screen.2. On the Details screen in the right-hand corner, you will see an Enroll button. Click the Enroll button.3. Scroll down to Course link, and click on the Activity Name http://nctc.fws.gov/courses/clm/clm725a/content/resources/index.html4. The course will open in a new window.After completing the course, if you would like to receive a course completion certificate and credit in DOI Learn for the course, you will need to takethe assessment. To access the assessment:1. Click either the course name at the top of this description or the Details button to view the Details screen.2. Scroll down to Course Activities, and click on the Activity Name 'Social Media for FWS Employees Assessment.'3. Complete the assessment.4. Once you have successfully completed the assessment with an 80%, exit the assessment. To print a certificate, click the Print Certificatebutton in the right-hand corner of your screen. Or you can print a certificate from your DOI Learn Home screen by clicking the PrintCompletion Certificates: Elective Training icon.",Communications
11,CLM8252,"National FWS Communications, Outreach and Visitor Services Workshop","This 3-day Communications, Outreach and Visitor Services Workshop will follow a format of plenary sessions in the morning and breakoutsessions in the afternoon. Poster session included. Sessions to address current topics and trends as identified by Communications, Outreach andVisitor Services community.Objectives: At the end of the workshop the participants will be able to more effectively reach out and communicate with a diversity of audiencesregarding the USFWS and conservation of natural resources, using current best practices and state of the art tools and techniques.Participants will also be a part of the growing community of the USFWS professionals engaged through shared learning and networking on thelatest communication, outreach and visitor services practices.Target Audience: External Affairs, Project Leaders, Communication and Outreach specialists, Visitor Services staff.",Visitor Services
12,DOI-SUPV-OLT-106,Conduct and Performance-Based Actions,"Most Federal employees work hard and are great performers. However, at times, you, as a Federal supervisor, may be faced with an employeewhose performance is not acceptable or who is guilty of misconduct. The purpose of this course is to help you address and resolve poorperformance and correct employee misconduct. This course is a prerequisite for the instructor-led course “BLM/FWS/NPS Supervisory SkillsWorkshop” for new supervisors, meaning you MUST complete it before attending that course. And if you have NOT taken the on-line course“Managing Employee Performance” which covers the fundamentals of the DOI Performance Management System, you should take that coursebefore attempting this one. Neither course is required for other supervisors, but both can serve as great refreshers when you need to deal withperformance and conduct issues and haven’t looked at the rules or regulations for a while.",Leadership and Supervision
13,CSP1140,Freshwater Fish Culture,"This course is designed to familiarize participants with the basic principles, concepts and methods for the production of non-salmonid, freshwater fishes. Course topics will include collecting brood stock, spawning, egg handling, larval development, fish health management, the basics of both intensive and extensive fish culture, pond fertilization and management, harvest procedures, marking and tagging, and transport and stocking. Hands-on laboratory exercises will include egg bisection to determine developmental stage, egg enumeration, calculating the larval development index, fry counts, zooplankton sampling and identification, gut content analysis, sampling counts, and water quality analysis.  OBJECTIVES:  Enumerate green and eyed eggs Discuss water chemistry analyses and corrective measures for optimum water quality Determine the developmental stage of a green egg Calculate concentrations for both eggs and fish treatments Diagnose and correct problems in the pond culture environment Control water quality, vegetation, and unwanted organisms in the pond culture environment Recognize normal and abnormal fish behavior and the common signs of fish disease. Complete a gut content analysis to determine what fish are eating in the pond Collect, identify, and enumerate various zooplankton. Describe intensive and extensive fish culture methods for various species. Harvest and transport fish to stocking sites in good condition. Maintain hatchery production records. TARGET AUDIENCE:  Anyone interested in the culture of freshwater fishes.",Aquatic Species Biology and Conservation
14,CSP2133,HACCP Planning to Prevent the Spread of Invasive Species: Train the Trainer,"This train-the-trainer course is designed to certify conservation planners in delivering a two-day training course in Hazard Analysis & CriticalControl Point (HACCP) Planning to Prevent the Spread of Invasive Species.  HACCP planning is a structured process that assesses a naturalresource management activity, identifies possible risks, and facilitates removal or reduction of non-target species. Participants will learn thefundamentals of effective communication in the classroom and explore various methods, techniques and training aids designed for adult learningstyles. To receive certification, participants will have to complete this course and assist an experienced instructor deliver a two-day HACCP trainingcourse in the field.OBJECTIVES:Upon completion of this course, participants will be able to:Apply principles of adult learningDeliver skill-based course objectives that meet the learner’s needsApply instructional objectives and lesson plans in a training sessionDemonstrate a variety of methods to enhance instructionUse visual and written aids to support instructionGuide a diverse team to develop an effective HACCP plan that will prevent the spread of non-target speciesDeliver a two-day HACCP Training courseTARGET AUDIENCE:Resource managers experienced with HACCP that are interested in becoming a certified HACCP instructor",Habitat Assessment Restoration and Management
15,ALC3139,An Overview of Climate-Smart Conservation,"This overview class is based on the guide Climate-Smart Conservation: Putting Adaptation Principles into Practice. This publication is the productof an expert workgroup on climate change adaptation convened by the National Wildlife Federation in collaboration with the FWS’s NationalConservation Training Center and other partners. The course is designed to provide an introduction to climate adaptation for application to on-the-ground conservation. It will provide an overview of how to craft climate-informed conservation goals, to carry out adaptation with intentionality, andhow to manage for change and not just persistence.Course Objectives: At the conclusion of this course, participants should be able to: • Explain the basic concepts of climate-smart conservation including overarching themes, key characteristics, and the cycle• Evaluate conservation goals from a climate change perspective, and align adaptation strategies with climate-informed goals• Describe the process for identifying possible adaptation options based on vulnerability information and other management considerations• Explain how to manage for climate related uncertaintyTarget Audience: Natural resource managers and conservation professionals",Ecological Adaptation
16,CSP3173,Endangered Species Recovery Planning and Implementation,"Instruction covers the technical, policy, and practical aspects of recovery planning and implementation for threatened and endangered species. This course will enhance your ability to plan for and effectively implement conservation actions for listed trust species and their habitats. Topics covered include: statutory framework, purpose and steps of recovery plan development, how and why to involve stakeholders, working with recovery teams and partners, policies and guidance relevant to recovery, the relationship of recovery to all parts of the Endangered Species Act, 5- year reviews, the application of conservation tools such as decision analysis and adaptive management to recovery efforts, recognizing recovery and preparing for delisting, and monitoring. Case studies and exercises are included to reinforce lecture sessions. Objectives: After attending this session, students should be able to: • Discuss the statutory requirements and administrative policies relevant to recovery; Identify various means to involve stakeholders and attributes of effective recovery teams; • • Think critically about population viability of the species; • Conduct a systematic threats assessment; • Discuss the role of a recovery plan in effective implementation of recovery actions; • Identify and employ techniques for successful management of individual recovery projects; • Discuss how recovery overlaps with other agency programs (e.g., Section 7, Fisheries, Refuges); • Conduct and prepare 5-year reviews • Navigate the various databases for tracking recovery implementation and species status; and • Describe the process for delisting recovered species  Target Audience: Biologists from the U.S. Fish and Wildlife Service and the National Marine Fisheries Service who are responsible for writing and/or implementing a recovery plan for species listed as endangered or threatened under the Endangered Species Act. This course is appropriate for someone who is new to the recovery program, those who have been drafting plans and/or implementing actions for a few years, and those who have not been actively involved in the program for a few years.",Conservation Policy
17,CLM7196,Management of Oil and Gas Activities On National Wildlife Refuge System Lands,"The purpose of this course is to provide U.S. Fish and Wildlife Service and other personnel with the technical, administrative, and legal informationto manage oil and gas activity throughout the National Wildlife Refuge System (NWRS). The information covered in the course includes: Legal authorities, including mineral ownership, and implementing regulations;Negotiating permits and agreements that protect surface rights;Environmental compliance requirements;Physical infrastructure of oil and gas activities;Minimizing environmental damage; andHealth and safety considerations.This course includes an overview of the types of issues that refuge personnel should consider in managing oil and gas programs, and providesexamples of procedures, protocols, and permit stipulations that have been employed successfully on refuges. In addition, students will visit an oiland gas facility located nearby in order to practice skills learned in the course in assessing an oil and gas site, including safety considerations,monitoring, permit compliance, environmental compliance, restoration and remediation. Though not a requirement, participants are requestedto provide their own hard hat, safety goggles/glasses and steel-toed boots. This class qualifies for the OSHA HAZWOPER 8-hour refresher training. You must submit proof of completion of the original OSHAHAZWOPER training in order to receive the refresher certification. Length: 4 days/32 hours (2 college credits available for completing this course.) OBJECTIVES: The participant will be able to: Describe the relationship between the surface owner (FWS) and the subsurface mineral estate owner, and list rights of each based on deedlanguage, case law, state and federal statutes and regulations.Describe the basics of oil and gas exploration, extraction and production and be conversant in terminology and equipment commonly usedby the oil and gas industry.Identify the potential environmental impacts of oil and gas activities on refuges lands, and apply techniques to avoid, minimize, or mitigatefor those impacts, and to restore and remediate affected resources when operations are completed.Determine when a particular oil and gas operator must obtain a Special Use Permit (SUP), and how to negotiate a voluntary agreementwhen a SUP is not required.Effectively convey refuge goals and priorities to oil and gas operators using communication and negotiation techniques to avoid or minimizeimpacts to trust resources.Identify pertinent health and safety concerns associated with oil and gas activities and become familiar with the methods, equipment, andsafety procedures required for accessing and monitoring oil and gas sites.TARGET AUDIENCE: This course focuses on Service law, regulations, policy and procedures. USFWS personnel involved with natural resource management orenforcement concerning oil and gas activities on NWRS lands are strongly encouraged to attend. Persons involved with acquisition of sites withhistorical or ongoing oil and gas leasing/activities should also consider attending.",Conservation Policy
18,CLM7178,Realty Academy,"Selection of participants in this Academy is determined by a nomination process from each Regional Office. PLEASE DO NOT APPLY HERE. Discuss attendance with your supervisor, who can then provide your name to the Region to be considered for nomination. If you are nominated, your Regional Office will notify you and NCTC will follow up with enrollment information. The Realty Academy is designed to lay a working foundation for U.S. Fish and Wildlife Service (Service) realty professionals and support staff. This two week course provides an overview of the tools, resources, and processes necessary for employees to understand their roles in fulfilling the missions of the Division of Realty, the Refuge System and the Service. In addition, the Realty Academy is designed to build understanding and cooperation among the diverse realty disciplines. Objectives: 1. Describe the basic principles of Federal real estate law that affect the FWS;2.Identify key legislation, regulations, and guidance that directs Service land acquisition and disposal policies and practices;3. Describe key components and offices of the FWS Realty Program and how they fit together; and4. Define and participate in major elements of a land acquisition scenario, including planning, survey, mapping, appraisal, negotiation,acquisition, relocation, and inventory.Target Audience: Academy participants should be nominated based on the following priorities: 1) Entry-level realty and support positions (e.g., realty assistant, cartographic technician, administrative support, etc.); 2) employees in higher-graded positions who are relatively new to the Service's land acquisition program (e.g., legal instrument examiner, paralegal, land surveyor, program analyst, realty specialist, etc.) who have not previously attended the Academy; and, 3) if space is available, Department of the Interior Office of Valuation Services staff and other Refuge System employees in positions working in support of Service land protection objectives. NOTE: As a prerequisite to this academy, students are strongly encouraged to have successfully completed LED5240, 'USFWS Foundations: Discover Your Service!'",Academies
19,CSP7204,GIS Intermediate,"The GIS Intermediate course is the next logical progression after mastering the fundamentals of ArcMap. This 4.5-day course develops essential GIS skill sets and methodologies that will help conservation practitioners manage spatial data, perform spatial analyses and automate tasks. Concise presentations are followed by real world lab exercises with data from the field. Students will be introduced to data management best practices, data preparation, Geoprocessing tools and how to acquire the appropriate raster data for their project. Students will also learn how to automate complex processing steps using Model Builder and learn how to share their data and maps with other cooperating programs and partners on-line.  OBJECTIVES:  Identify and repair spatial reference issues commonly associated to geospatial data sets Manage spatial and tabular data with Geodatabases Import data from other programs such as R and MS Access Explore and utilize ArcToolbox to locate specific Geoprocessing tools Employ basic Geoprocessing overlay and extraction techniques Explore and utilize the Model Builder interface to build simple to complex models Identify and acquire raster data sets used for and land cover classification and habitat analysis Share geospatial data and maps using Google Earth and ArcGIS on-line Build expressions in Raster Calculator to create new raster layers  TARGET AUDIENCE:  Biologist, Ecologist and Planners",Geospatial Technologies
20,CSP3105,Wetland Restoration/Enhancement,"This is a basic interdisciplinary course in wetland restoration and enhancement where participants learn to assess wetland functions, developrestoration and enhancement plans, and implement plans on degraded wetlands. The course emphasizes wetland ecology, wildlife needs,enhancement of wetland functions, conceptual design and implementation processes, and monitoring considerations. The course consists of twoportions. The first portion is a self-pace workbook to be reviewed prior to attending the on-site portion of the class. The workbook contains readingsand exercises on wetland ecology and wildlife principles applicable to different wetland types. The on-site portion provides detailed discussions,field demonstrations, and reinforces the principles covered in the workbook. Depending upon enrollment the course location will be selected toemphasize the following wetland types: bottomland hardwoods, prairie potholes, Carolina bay and flats, depressional wetlands, floodplains,northwest freshwater wetlands, and others. Objectives: · Demonstrate the importance of interdisciplinary communications in wetland restoration activities.· Describe the physical, chemical, and biological processes of a wetland.· Describe the ecological processes necessary for restoring and enhancing wetlands.· Describe the methods used to restore, manage, maintain, and monitor the wetland system.· Determine the existing and potential functions of a prospective restoration or enhancement sites.· Complete a wetland site evaluation and determine associated opportunities and constraints.· As part of an interdisciplinary team, restore/enhance wetlands in the geographic area of your duty station.Target Audience: This course is conducted by the USDA Natural Resources Conservation Service-National Wetland Team for use by anyone directly involved inwetland issues such as: wetland delineation, wetland restoration and enhancement, wetland mitigation and wetland habitat management.",Habitat Assessment Restoration and Management
21,LED5125,Emerging Dynamics in Leadership,"U  Target Audience: Those who demonstrate leadership through engagement, collaboration, and influence across organizational levels, regardless of supervisory status. Most appropriate for GS-11s and -12s; WG-8s, -9s, and -10s; and Wage Grade leaders/supervisors.  Summary and Objectives: Emerging Dynamics in Leadership is designed for the mid-level leader who aspires to develop their personal leadership capacity. This course supports the progression of leadership development by aligning with the U.S. Fish and Wildlife Service's Leadership Development Competency Model. During this weeklong course, participants will engage in a group action learning project while exploring self-awareness, interpersonal skills, and team development. This course helps participants begin forming their personal leadership identity and expanding their capacity to meet future leadership opportunities. pon completion of this course, participants will be able to: Obtain and use their knowledge of strengths, vulnerabilities, and triggers to improve individual and team performance; • Provide and elicit feedback resulting in deeper self-awareness and continual learning; • Model and inspire team engagement, creativity, and trust; • Anticipate, recognize, and manage disagreement to enhance individual and team performance; • Align and execute work to achieve strategic goals; and • Leverage influence to work toward a desired outcome. •  We encourage you to register for this course despite the number of open seats showing zero. This is an internal process and does not accurately reflect the class availability. You will be notified of your enrollment status approximately 8 weeks prior to the class.",Leadership and Supervision
22,CLM5309,Refuge Improvement Act,"This course is designed for Service employees to develop an understanding of the Refuge Administration Act, National Wildlife Refuge System Improvement Act of 1997, to implement its provision in a consistent manner throughout the system.  Course Objectives:  The class participant will be able to:  1. Describe historical evolution of the National Wildlife Refuge System Improvement Act of 1997 and its relation to the National Wildlife Refuge System Administration Act of 1966 (Acts).  2. List and describe the authorities of the Acts for both the Refuge System and the Refuge Manager.  3. Know what other laws commonly complement or affect implementation of the Acts and explain how they impose obligations on refuge management.  4. Use the Acts as a framework to describe how the main components guide overall management of the Refuge System.  5. Describe how to use the Code of Federal Regulations, policy, and other tools that have been developed from the Acts to implement management actions on Refuges.  Target Audience  Service employees involved with the management and support of refuges with particular emphasis on 0485, 1801, 0486, 0025, and 0401 job series.",Refuge Land Policy
23,CSP0100,Fisheries Academy,"This introductory course gives participants an overview of the FWS Fisheries Program and its operations. Designed for all fisheries program staff, the course examines the program’s legislation and policies, organization and responsibilities of the Washington, regional, and field offices, and how the Fisheries Program and its partners carry out its mission of restoring and protecting aquatic resources following the guidance of the Fisheries Program Vision document and the tenants of Strategic Habitat Conservation.  Prerequisites: Prior to attending the class each participant must:  Complete and bring a current IDP. Study and recall 'Conserving America’s Fisheries – Fisheries Program Vision for the Future.' Objectives: At the end of the training, each participant will be able to:  Describe Fisheries legislation and policies and their effect on everyday work in the field; Discuss Washington, regional, and field office organization, functions, and perspectives; Explain the various programs within Fisheries (National Fish Hatchery program, FW Conservation Offices) and their interactions with other programs within Fisheries and Habitat Conservation; Examine the Fisheries Program Vision document, how it relates to the Strategic Plan and performance measures, and discuss how to implement it within the Fisheries Program; Examine how Climate Change will impact the work of the Fisheries Program in the future; Outline and describe the FWS Budget Process, Government Performance and Results Act (GPRA), and the Administration’s Program Assessment Rating Tool (PART); Describe the values, objectives and methods of using partnerships and collaboration to accomplish the Fisheries Program mission; Using demographic data, describe the changing profile of how the nation’s population utilizes and values natural resources, and how the cultural shift will impact future fisheries operations; Describe the values, objectives and methods of using public outreach, volunteer, connecting people with nature, and education programs to accomplish the Fisheries Program mission; Describe the connection between the FIS and SAMMS data, and how HACCP planning influence the daily operations of Fisheries Field Stations and the budget formulation process; Examine the Governments greening initiatives, RCRA, NEPA, energy conservation and recycling programs, and how all field stations will implement; and Investigate various career paths in the field of fisheries science and begin learning how to manage their careers. Target Audience: All fisheries program staff. Each Regional ARD for Fisheries will nominate three individuals to attend this course and provide a prioritized list of alternates to NCTC four months prior to the start of the class.",Academies
24,CSP3156A,Modeling Principles for Natural Resources Management (Beginner Track),"Target Audience: Biologists and resource managers who are seeking to gain model-building skills to inform research and decision-making in natural resource management. Participants are not required to be highly skilled in mathematics or computing, although familiarity with spreadsheets and how the results of models can be applied is beneficial. Summary and Objectives: This is a fun, engaging, and challenging on-line course based on Dr. Anthony Starfield's Principles of Modeling for Conservation Planning and Analysis. Participants will learn about the modeling process, how to think like a modeler, and how modeling fits into management decision-making. Participants will develop practical skills on building and communicating about models. The class covers a variety of modeling techniques applicable to resource management and conservation issues. Session topics include Introduction to Modeling and Spreadsheets (e.g. context, sensitivity analysis, assumption analysis, and mechanics), Population Modeling, Decision Analysis, Ecosystem Modeling, Spatially Explicit Models, and the use of models in making conservation decisions. On-line presentations, discussion, and exercises emphasize hands-on experience with building spreadsheet models to illustrate the values, limitations, and appropriate applications of models. The typical weekly format consists of video lectures and spreadsheet modeling tutorial/exercise, homework on tutorial model, posting to a discussion board, and a virtual classroom meeting to debrief homework and review team model challenge presentations. The course schedule runs over a 15 week time span (with one week off). Instructors and coaches will have virtual office hours weekly. Participants should be prepared to work an average of 6 hours per week. This course was developed in collaboration between the Bureau of Land Management, National Training Center, the U.S. Fish and Wildlife Service, National Conservation Training Center, and the Vermont Cooperative Fish and Wildlife Research Unit.  Upon completion of this course, participants will be able to: Discover how to use models in planning for ecological and conservation biology decisions with defensible results. • Describe the modeling process, terminology, use of deterministic and stochastic models, what to leave out of a model, scale and resolution, • age or state structured models, and how to deal with uncertainty in making conservation decisions. Build modeling skills. • Use decision trees, approach decision-analysis under uncertainty, and incorporate a pragmatic modeling approach to data collection • methods and data analysis. Design management-oriented modeling frameworks, qualitative models, and determine where GIS can be useful. •",Statistics and Modeling
25,SAF4300,Scientific River Diving Safety,"Target Audience: Anyone that SCUBA dives in rivers as part of their job.  This course will address safety procedures, hazards, risks, benefits, and equipment associated with Scientific River Diving. Throughout the course, divers will practice and show mastery in the following skills: diving with a full-face mask, communicating verbally with full-face mask divers from the surface and collecting data, communicating using tactile and line signals, diving on a tether, tending divers on a tether, diving with a hookah, briefing a river dive, and creating a river dive plan. Students that demonstrate mastery will receive certifications in Scientific River Diving and Full-Face Mask through PADI.  Prerequisites: Due to the unique hazards involved with river diving, all participants are required to complete the Rescue Diver certification and First Aid/CPR and O2 delivery prior to the course. Dry suit certification also is required if participants plan to use a dry suit during the course. You will be required to provide copies of these certifications PRIOR to signing up toattend  Upon completion of this course, participants will be able to: •  Describe and execute the planning and organization of a river dive. • List the equipment needed for conducting river dives. •  Describe and execute the techniques and procedures for conducting river dives. •  Explain the hazards of river diving and how they may be avoided orovercome. •  Describe and execute river diving safety procedures. •  Demonstrate mastery of all open-water skills.",Safety and Emergency Response
