Competency Title,Notation,Competency Definition,,,,
Auditing,,"Knowledge of generally accepted auditing standards and procedures for conducting financial and compliance, economy and efficiency, and program audits.",,,,
Biology,,"Knowledge of the environment, plant and animal living tissue, cells, organisms, and entities, including their functions, interdependencies and interactions with each other and the environment.",,,,
Botany,,"Knowledge of the concepts, principles, and theories of plants, including structures and functions, classification, taxonomy, plant communities, distribution, habitat requirements, life histories, reproduction, conservation, and care of plant species.",,,,
Budget Administration,,"Knowledge of the principles and practices of budget administration and analysis; including preparing, justifying, reporting on, and executing the budget; and the relationships among program, budget, accounting, and reporting systems.",,,,
Building and Construction,,"Knowledge of materials, methods, and the tools to construct objects, structures, and buildings.",,,,
Business Process Reengineering,,"Knowledge of methods, metrics, tools, and techniques of Business Process Reengineering.",,,,
Capacity Management,,"Knowledge of the principles and methods for monitoring, estimating, or reporting actual performance or the performance capability of information systems or components.",,,,
Capital Planning and Investment Assessment,,"Knowledge of the principles and methods of capital investment analysis or business case analysis, including return on investment analysis.",,,,
Carpentry/Woodworking,,"Knowledge of materials, methods, and the appropriate tools to construct, install, finish, or repair wooden objects or structures.",,,,
Cartography,,"Knowledge of the concepts, principles, theories, and methods related to the research, design, development, or revision of maps, charts, and related cartographic products, and photogrammatic and cartographic processing.",,,,
Change Management,,"Knowledge of change management principles, strategies, and techniques required for effectively planning, implementing, and evaluating change in the organization.",,,,
Chemical Engineering,,"Knowledge of the concepts, principles, and theories related to the chemical composition or physical characteristics of materials for the design, construction, operation, and improvement of processes or systems.",,,,
Chemistry (*),(*),"Knowledge of the concepts, principles, and theories of the composition, structure, and properties of substances, and of the chemical processes and transformations, including uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.",,,,
Chemistry (†),(†),"Knowledge of chemicals, including hazardous materials, and their uses, interactions, dangers, production, storage, and disposal.",,,,
Civil Engineering,,"Knowledge of the concepts, principles, theories, and methods required to plan, design, construct, operate, and maintain facilities such as buildings, transportation systems, water and sanitary systems, and other public works systems.",,,,
Classification,,"Knowledge of classification concepts, principles, and practices related to structuring organizations and positions and determining the appropriate pay system, occupational grouping, title, and pay level of positions.",,,,
Clerical,,"Knowledge of filing, typing, entering data, maintaining records, taking shorthand, and using and completing forms.",,,,
Client Engagement/Change Management,,"Knowledge of the impact of change on people, processes, procedures, leadership, and organizational culture; knowledge of change management principles, strategies, and techniques required for effectively planning, implementing, and evaluating change in the organization.",,,,
Communications and Media,,"Knowledge of the production, communication and dissemination of information and ideas to inform and entertain via written, oral, and visual media.",,,,
Communications Security Management,,"Knowledge of the principles, policies, and procedures involved in ensuring the security of communications services and data, and in maintaining the communications environment on which it resides.",,,,
Compensation,,"Knowledge of compensation concepts, principles, and practices, including pay and leave administration and compensation flexibilities.",,,,
Compliance,,"Knowledge of procedures for assessing, evaluating, and monitoring programs or projects for compliance with Federal laws, regulations, and guidance.",,,,
Compliance Inspection,,"Knowledge of the guidelines, regulations, and procedures associated with compliance inquiries, including application of compliance rules and criteria and ability to make appropriate decisions and issue citations, fines, or orders.",,,,
Computer Forensics,,Knowledge of tools and techniques used in data recovery and preservation of electronic evidence.,,,,
Computer Languages,,Knowledge of computer languages and their applications to enable a system to perform specific functions.,,,,
Computer Network Defense,,"Knowledge of defensive measures to detect, respond, and protect information, information systems, and networks from threats.",,,,
Computer Skills,,"Uses computers, software applications, databases, and automated systems to accomplish work.",,,,
Computers,,"Knowledge of circuit boards, processors, chips, and computer hardware and software, including applications and programming.",,,,
Computers and Electronics,,"Knowledge of electric circuit boards, processors, chips, and computer hardware and software, including applications and programming.",,,,
Configuration Management,,"Knowledge of the principles and methods for planning or managing the implementation, update, or integration of information systems components.",,,,
Conflict Management (*),(*),"Manages and resolves conflicts, grievances, confrontations, or disagreements in a constructive manner to minimize negative personal impact.",,,,
Conflict Management (‡),(‡),Encourages creative tension and differences of opinions.  Anticipates and takes steps to prevent counter-productive confrontations. Manages and resolves conflicts and disagreements in a constructive manner.,,,,
Conscientiousness,,Displays a high level of effort and commitment towards performing work, demonstrates responsible behavior.,,,
Constitutional Law,,Knowledge of the laws and legal precedents related to the U.S. Constitution.,,,,
Continual Learning,,Assesses and recognizes own strengths and weaknesses, pursues self-development.,,,
Contracting/Procurement,,"Knowledge of various types of contracts, techniques, or requirements (for example, Federal Acquisitions Regulations) for contracting or procurement, and contract negotiation and administration.",,,,
Control of Funds,,"Knowledge of the principles, procedures, and requirements for maintaining control and accountability of obligations and expenditures for all appropriations and fund accounts (for example, revolving, non-appropriated, multiyear, and single-year appropriations).",,,,
Cost Accounting,,"Knowledge of the principles, procedures, and methods of cost accounting, including the use of historical cost, market value, or present value to measure cost; methods for assigning cost to accounting periods; and cost allocation, cost accrual, depreciation, and unit cost.",,,,
Cost Estimation and Analysis,,"Knowledge of the principles, practices, and methods used to determine, estimate, and analyze costs, including determining life cycle costs, application of cost models, and evaluation of cost realism.",,,,
Cost-Benefit Analysis,,"Knowledge of the principles and methods of cost-benefit analysis, including the time value of money, present value concepts, and quantifying tangible and intangible benefits.",,,,
Creative Thinking (*),(*),Uses imagination to develop new insights into situations and applies innovative solutions to problems, designs new methods where established methods and procedures are inapplicable or are unavailable.,,,
Creative Thinking (†),(†),Uses imagination to develop new insights into situations and applies new solutions to problems, designs new methods where established methods and procedures are not suitable or are unavailable.,,,
Creativity and Innovation,,Develops new insights into situations, questions conventional approaches, encourages new ideas and innovations, designs and implements new or cutting edge programs/processes.,
Criminal Investigation,,"Knowledge of the guidelines, regulations, and procedures associated with criminal investigation, including evidence detection and handling and drawing appropriate factual inferences and conclusions.",,,,
Criminal Law,,"Knowledge of state and Federal criminal laws, including procedures, regulations, guidelines, and precedents related to admissibility of evidence and prosecution.",,,,
Customer Service (*),(*),"Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.",,,,
Customer Service (‡),(‡),Anticipates and meets the needs of both internal and external customers. Delivers high-quality products and services, is committed to continuous improvement.,,,
Cutting,,"Knowledge of meat cutting, including the grades and structure of meat, fish, or poultry.",,,,
Data Management,,"Knowledge of the principles, procedures, and tools of data management, such as modeling techniques, data backup, data recovery, data dictionaries, data warehousing, data mining, data archiving, data disposal, and data standardization processes.",,,,
Data Systems,,"Knowledge of computer hardware and software development and systems as they apply to the conception, specification, analysis, planning, development, installation, test, modification and use of data handling and computing systems in support of aerospace flight and ground systems.",,,,
Database Administration,,"Knowledge of the principles, methods, and tools for automating, developing, implementing, or administering database systems.",,,,
Database Management Systems,,"Knowledge of the uses of database management systems and software to control the organization, storage, retrieval, security, and integrity of data.",,,,
Decision Making,,"Makes sound, well-informed, and objective decisions; perceives the impact and implications of decisions; commits to action, even in uncertain situations, to accomplish organizational goals; causes change.",,,,
Decision Support,,"Knowledge of decision support theories, methods, and tools for identifying, synthesizing, representing, and evaluating the important aspects of a decision situation and prescribing the recommended course for decision makers and other stakeholders.",,,,
Decisiveness,,"Makes well-informed, effective, and timely decisions, even when data are limited or solutions produce unpleasant consequences; perceives the impact and implications of decisions.",,,,
Depth Perception,,"Accurately judges which of several objects is closer or farther away from the observer, or the distance between an object and the observer.",,,,
Design,,"Knowledge of conceptualizing, developing, producing, understanding, and using plans, models, blueprints, and maps, including the use of tools and instruments to produce precision technical drawings, working prototypes, components, or systems.",,,,
Detention,,"Knowledge of the policies and procedures for detaining criminal suspects including processing, fingerprinting, detention requests, informing detainee of charges, and transportation.",,,,
Developing Others,,Develops the ability of others to perform and contribute to the organization by providing ongoing feedback and by providing opportunities to learn through formal and informal methods.,,,,
Distributed Systems,,"Knowledge of the principles, theoretical concepts, and tools underlying distributed computing systems, including their associated components and communication standards.",,,,
Earth Science,,"Knowledge of interdisciplinary disciplines associated with the earth’s composition, structure, or other physical aspects, including atmosphere.",,,,
Ecology,,"Knowledge of the concepts, principles, and theories of the interrelationships among organisms and their environment, including competition and predation, evolution and natural selection, population dynamics, and the impact of natural phenomena or human actions on natural systems, processes, and biota.",,,,
Economics,,"Knowledge of economic policy, principles, and practices, market and non-market values, and the analysis and reporting of economic data.",,,,
Economics and Accounting,,"Knowledge of economic and accounting principles and practices, tax law and practices, the financial markets, banking, and the analysis and reporting of financial data.",,,,
Education and Training,,"Knowledge of teaching, training, research, making presentations, lecturing, testing, and other instructional methods.",,,,
Electrical,,"Knowledge of electrical equipment, components, instruments, and systems, including their design, installation, testing, uses, repair, or maintenance.",,,,
Electrical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the design, analysis, test, and integration of electrical systems; energy conversion; electrical power generation; and energy transmission, control, distribution or use.",,,,
Electronic Commerce (e-Commerce),,"Knowledge of the principles, methods, and tools for conducting business online, including electronic data interchange.",,,,
Electronics,,"Knowledge of electronic theory, circuits, components, and material properties (excluding computers).",,,,
Electronics Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the design, analysis, test, fabrication, or verification of analog or digital electronic systems.",,,,
Embedded Computers,,"Knowledge of specifications and uses of specialized computer systems used to control devices (for example, automobiles, helicopters), including the appropriate programming languages.",,,,
Employee Benefits,,"Knowledge of HR concepts, principles, and practices related to retirement, insurance, injury compensation, and other employee benefits programs.",,,,
Employee Development,,"Knowledge of employee development concepts, principles, and practices related to planning, evaluating, and administering training, organizational development, and career development initiatives.",,,,
Employee Relations,,"Knowledge of laws, rules, regulations, case law, principles, and practices related to employee conduct, performance, and dispute resolution.",,,,
Encryption,,"Knowledge of procedures, tools, and applications used to keep data or information secure, including public key infrastructure, point-to-point encryption, and smart cards.",,,,
Engineering and Technology,,"Knowledge of engineering concepts, principles, and practices, and of equipment, tools, mechanical devices, and their uses to produce motion, light, power, technology, and other applications.",,,,
Enterprise Architecture,,"Knowledge of principles, concepts, and methods of enterprise architecture to align information technology (IT) strategy, plans, and systems with the mission, goals, structure, and processes of the organization.",,,,
Entomology,,"Knowledge of the concepts, principles, and theories of insects, including taxonomy, morphology, behavior, life cycles, population dynamics, host-insect interactions, the role of insects in natural and managed ecosystems, and the regulation, prevention, and control of pest-related problems.",,,,
Entrepreneurship,,Positions the organization for future success by identifying new opportunities, builds the organization by developing or improving products or services. Takes calculated risks to accomplish organizational objectives.,,,
Environmental Engineering,,"Knowledge of the concepts, principles, theories, and methods to protect and improve the quality of the environment and its resources; and to monitor, control, abate, and prevent pollutants.",,,,
External Awareness (*),(*),"Identifies and understands economic, political, and social trends that affect the organization.",,,,
External Awareness (‡),(‡),"Understands and keeps up-to-date on local, national, and international policies and trends that affect the organization and shape stakeholders' views; is aware of the organization's impact on the external environment.",,,,
Eye-Hand Coordination,,"Accurately coordinates one's eyes with one's fingers, wrists, or arms to perform job-related tasks (for example, to move, carry, or manipulate objects).",,,,
Facilities,,"Knowledge of the physical, engineering, and experimental equipment and operational characteristics of facilities, and safety and equipment development designed to support aerospace activities.",,,,
Federal Funds Processing,,"Knowledge of methods and procedures for processing direct and reimbursable program funds (for example, automatic and funded reimbursements, interagency agreements, transfer appropriations), grants, loans, and credit programs.",,,,
Financial Analysis,,"Knowledge of the principles, methods, and techniques of financial analysis, forecasting, and modeling to interpret quantitative and qualitative data; includes data modeling, earned value management, and evaluating key financial indicators, trends, and historical data.",,,,
Financial Assistance Mechanisms,,"Knowledge of the differences between acquisition and financial assistance purposes and requirements; knowledge of Federal assistance instruments, techniques, and procedures for grants (for example, block, mandatory, discretionary) and agreements (for example, cooperative, interagency).",,,,
Financial Management (*),(*),"Prepares, justifies, and/or administers the budget for program areas; plans, administers, and monitors expenditures to ensure cost-effective support of programs and policies; assesses financial condition of an organization.",,,,
Financial Management (‡),(‡),"Understands the organization's financial processes. Prepares, justifies, and administers the program budget.  Oversees procurement and contracting to achieve desired results.   Monitors expenditures and uses cost-benefit thinking to set priorities.",,,,
Financial Systems,,"Knowledge of the standards, architecture, and specifications of automated financial systems, including source documents, system flows, system interfaces, and related internal controls.",,,,
Fine Arts,,"Knowledge of theory and techniques required to produce, compose, and perform works of music, dance, visual arts, drama, and sculpture.",,,,
Fire Management,,"Knowledge of the concepts, principles, and theories of fire management, including the characteristics, behavior, and ecology of fire; methodologies, strategies, and equipment used in prescribed fires; fire detection, prevention, and suppression strategies; and integration of fire with natural resource management.",,,,
Firearms,,"Knowledge of firearm usage and related issues, such as ammunition, range regulations and safety and use of force policies.",,,,
First Response,,"Knowledge of emergency management methods, such as first aid, rescue techniques, and threat assessments.",,,,
Fishery Biology,,"Knowledge of the concepts, principles, and theories of aquatic life, including classification, taxonomy, population dynamics, distribution, habitat requirements, life histories, reproduction, behaviors, conservation, and care of aquatic species.",,,,
Flexibility (*),(*),"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with ambiguity.",,,,
Flexibility (†),(†),"Is open to change and new information; adapts behavior or work methods in response to new information, changing conditions, or unexpected obstacles; effectively deals with uncertainty.",,,,
Flexibility (‡),(‡),"Is open to change and new information; rapidly adapts to new information, changing conditions, or unexpected obstacles.",,,,
Flight Systems,,"Knowledge of the concepts, principles, and theories related to the development, design, test, and evaluation of aerospace flight vehicles and their component subsystems, or their related external systems.",,,,
Fluid Dynamics and Mechanics,,"Knowledge of the concepts, principles, and theories of computational fluid dynamics, fluid mechanics, flight dynamics, flight structures, the force and motion mechanics of vehicles in various atmospheric and celestial environments, aerothermodynamics, and the characteristics of electrically conducting fluids under the action of magnetic and electric fields.",,,,
Food Production,,"Knowledge of planning, growing, and harvesting of food for consumption using appropriate equipment and techniques.",,,,
Food Service,,Knowledge of preparing and serving food for consumption.,,,,
Foreign Language,,"Knowledge of sign language or of the structure and content of a foreign (non-English) language, including the meaning and spelling of words, rules of composition, and grammar.",,,,
Forensics,,"Knowledge of procedures of civil, criminal, or administrative hearings, evidence collection, including the delivery and receipt of evidence, classes of evidence, and rules of evidence and legal procedures.",,,,
Forest Management,,"Knowledge of the concepts, principles, and theories of silviculture and forest ecology, forest use, management, harvesting, conducting inventories, regeneration, sustainability, and conservation; and the role of disturbances in timberland resources.",,,,
General Engineering,,"Knowledge of the concepts, principles, and theories of engineering and their practical applications.",,,,
Genetics,,"Knowledge of the concepts, principles, and theories of genetics, including the biochemistry of DNA, gene interaction, gene expression, gene inheritance, population genetics, adaptation, and evolution.",,,,
Geography,,"Knowledge of geographical locations, their relationships and characteristics.",,,,
Geographical Sciences,,"Knowledge of the concepts, principles, theories, and methods for describing the location and distribution of land, sea, and air masses, including their physical locations, relationships, characteristics, and what the land supports.",,,,
Geology,,"Knowledge of the concepts, principles, and theories of the origins and structure of the earth, including the physical forces that have shaped it and its physical and organic history.",,,,
Geophysics,,"Knowledge of the concepts, principles, and theories related to solid earth structure, global seismic patterns, lithosphere, atmosphere, and the behavior of the earth’s gravitational, magnetic, and electrical fields, and other forces affecting the earth and its environment.",,,,
Geotechnical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the investigation and evaluation of subsurface soil or geologic conditions and properties for the purpose of designing stable foundation systems, earthen structures, or the remediation of subsurface conditions.",,,,
Grants Management,,"Knowledge of requirements, practices, and procedures for soliciting, receiving, reviewing, and processing proposals, and awarding and administering grants and agreements.",,,,
"Grants Management Laws, Regulations, and Guidelines",,"Knowledge of principles, laws, regulations, policies, practices, and guidelines (for example, Executive Orders, Code of Federal Regulations, OMB circulars) of grant or agreement programs, including their order of precedence.",,,,
Hardware,,"Knowledge of specifications, uses, and types of computer or computer-related equipment.",,,,
Hardware Engineering,,"Knowledge of the principles, methods, and tools for designing, developing, and testing computer or computer-related equipment.",,,,
Hazardous Materials,,"Knowledge of hazardous materials and waste and their uses, interactions, dangers, production, handling, storage, and disposal.",,,,
Health Physics,,"Knowledge of the concepts, principles, theories, and methods pertaining to the protection of people, their environment, and equipment from hazards (for example, radiation or hazardous chemicals) and the control of radioactive material.",,,,
History and Archeology,,"Knowledge of historical events and their causes, indicators, and impact on particular civilization and cultures, and of preservation and archival techniques.",,,,
Horticulture,,"Knowledge of cultivating flowers, plants, and trees.",,,,
Horticultural Sciences,,"Knowledge of the concepts, principles, theories, and practices of cultivation or crop management, physiological processes in plant growth and crop yield.",,,,
HR Information Systems,,"Knowledge of HR management concepts, principles, and practices related to identifying and analyzing HR processes, translating functional requirements into technical requirements, and delivering and maintaining HR information systems.",,,,
Human Capital Management,,"Builds and manages workforce based on organizational goals, budget considerations, and staffing needs. Ensures that employees are appropriately recruited, selected, appraised, and rewarded; takes action to address performance problems. Manages a multi-sector workforce and a variety of work situations.",,,,
Human Factors,,"Knowledge of the principles, methods, and tools used to identify and apply information about human behavior, abilities, limitations, and other characteristics to the design of tools, machines, systems, tasks, jobs, and environments for effective human use.",,,,
Hydraulic Engineering,,"Knowledge of the concepts, principles, theories, and methods applicable to analysis of the flow of fluids (open channel and pressure flow), estimation of river stages, and design of hydraulic structures, drainage structures, pipes, navigation facilities, reservoirs, locks, and dams.",,,,
Hydrology,,"Knowledge of the concepts, principles, theories, and methods related to the magnitude, distribution, and quality of water resources including watershed management, climatology, geomorphology, groundwater hydrology, water quality, water resource management, and groundwater/surface water interactions.",,,,
Identity Management,,"Knowledge of methods and controls to validate the identity of individuals to verify access approval and level, and monitor activity to ensure that only authorized access is taking place.",,,,
Incident Management,,"Knowledge of the tactics, technologies, principles, and processes to protect, analyze, prioritize, and handle incidents.",,,,
Industrial Equipment Operation,,Knowledge of principles and methods for operating industrial equipment.,,,,
Influencing/Negotiating (*),(*),"Persuades others to accept recommendations, cooperate, or change their behavior; works with others towards an agreement; negotiates to find mutually acceptable solutions.",,,,
Influencing/Negotiating (‡),(‡),Persuades others, builds consensus through give and take, gains cooperation from others to obtain information and accomplish goals.,,
Information Assurance,,"Knowledge of methods and procedures to protect information systems and data by ensuring their availability, authentication, confidentiality, and integrity.",,,,
Information Management,,Identifies a need for and knows where or how to gather information, organizes and maintains information or information management systems.,,,
Information Resources Strategy and Planning,,"Knowledge of the principles, methods, and techniques of information technology (IT) assessment, planning, management, monitoring, and evaluation, such as IT baseline assessment, interagency functional analysis, contingency planning, and disaster recovery.",,,,
Information Systems Security Certification,,"Knowledge of the principles, methods, and tools for evaluating information systems security features against a set of specified security requirements. Includes developing security certification and accreditation plans and procedures, documenting deficiencies, reporting corrective actions, and recommending changes to improve the security of information systems.",,,,
Information Systems/Network Security,,"Knowledge of methods, tools, and procedures, including development of information security plans, to prevent information systems vulnerabilities, and provide or restore security of information systems and network services.",,,,
Information Technology Architecture,,"Knowledge of architectural methodologies used in the design and development of information systems, including the physical structure of a system's internal operations and interactions with other systems.",,,,
Information Technology Performance Assessment,,"Knowledge of the principles, methods, and tools (for example, surveys, system performance measures) to assess the effectiveness and practicality of information technology systems.",,,,
Information Technology Program Management,,"Knowledge of the principles, methods, and tools for the coordinated management of an IT program to include providing oversight of multiple IT projects, integrating dependent schedules and deliverables, and related activities (for example, benefits management, life cycle management, program governance).",,,,
Information Technology Research and Development,,"Knowledge of scientific principles, methods, and tools of basic and applied research used to conduct a systematic inquiry into a subject matter area.",,,,
Infrastructure Design,,"Knowledge of the architecture and typology of software, hardware, and networks, including LANS, WANS, and telecommunications systems, their components and associated protocols and standards, and how they operate and integrate with one another and with associated controlling software.",,,,
Insurance,,"Knowledge of various types of insurance, insurance regulations, claims processing, examination, adjudication, or adjustment.",,,,
Integrity/Honesty (*),(*),"Contributes to maintaining the integrity of the organization; displays high standards of ethical conduct and understands the impact of violating these standards on an organization, self, and others; is trustworthy.",,,,
Integrity/Honesty (‡),(‡),"Behaves in an honest, fair, and ethical manner. Shows consistency in words and actions. Models high standards of ethics.",,,,
Internal Controls,,"Knowledge of the principles, methods, and techniques for establishing internal control activities (for example, authorizations, verifications, reconciliations), monitoring their use, and evaluating their performance (for example, identification of material weaknesses or significant deficiencies).",,,,
Interpersonal Skills (*),(*),"Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences.",,,,
Interpersonal Skills (‡),(‡),"Treats others with courtesy, sensitivity, and respect.  Considers and responds appropriately to the needs and feelings of different people in different situations.",,,,
IT Modeling and Simulation,,"Knowledge of mathematical modeling and simulation tools and techniques to plan and conduct test and evaluation programs, characterize systems support decisions involving requirements, evaluate design alternatives, or support operational preparation.",,,,
Knowledge Management,,Knowledge of the value of collected information and the methods of sharing that information throughout an organization.,,,,
Labor Law,,"Knowledge of state and Federal employment laws, regulations, guidelines, and legal precedents related to hiring practices, equal employment opportunity, and wage and hour restrictions.",,,,
Labor Relations,,"Knowledge of laws, rules, regulations, case law, principles, and practices related to negotiating and administering labor agreements.",,,,
Landscape Architecture,,"Knowledge of the concepts, theories, and practices used in the planning, designing, construction, and adaptation of outdoor features, taking into consideration recreation planning, requirements, aesthetic value, and compatibility with other developments and resources.",,,,
Leadership,,"Influences, motivates, and challenges others; adapts leadership styles to a variety of situations.",,,,
Learning,,"Uses efficient learning techniques to acquire and apply new knowledge and skills; uses training, feedback, or other opportunities for self-learning and development.",,,,
"Legal, Government, and Jurisprudence",,"Knowledge of laws, legal codes, court procedures, precedents, legal practices and documents, Government regulations, Executive orders, agency rules, Government organization and functions, and the democratic political process.",,,,
Leveraging Diversity,,Fosters an inclusive workplace where diversity and individual differences are valued and leveraged to achieve the vision and mission of the organization.,,,,
Life Sciences and Systems,,Knowledge of life sciences that involve the theoretical and experimental research of life systems.,,,,
Listening,,"Receives, attends to, interprets, and responds to verbal messages and other cues such as body language in ways that are appropriate to listeners and situations.",,,,
Logical Systems Design,,"Knowledge of the principles and methods for designing business logic components, system processes and outputs, user interfaces, data inputs, and productivity tools (for example, computer-aided software engineering).",,,,
Manages and Organizes Information,,"Identifies a need; gathers, organizes, and maintains information; determines its importance and accuracy, and communicates it by a variety of methods.",,,,
Manages Human Resources,,"Plans, distributes, and monitors work assignments; evaluates work performance and provides feedback to others on their performance.",,,,
Manages Resources,,"Selects, acquires, stores, and distributes resources such as materials, equipment, or money.",,,,
Managing Human Resources,,"Plans, distributes, coordinates, and monitors work assignments of others; evaluates work performance and provides feedback to others on their performance; ensures that staff are appropriately selected, utilized, and developed, and that they are treated in a fair and equitable manner.",,,,
Manufacturing,,"Knowledge of the specifications, tools, inputs, raw materials, outputs, and waste related to the manufacture of prototypes, models, systems, or other products.",,,,
Materials Engineering,,"Knowledge of the concepts, principles, theories, and methods related to the composition, structures, and properties of materials, their use, behavior and performance under environmental influences, and the identification, processing, and manufacture of optimal materials for various applications.",,,,
Mathematical Reasoning,,Solves practical problems by choosing appropriately from a variety of mathematical and statistical techniques.,,,,
Measurement and Instrumentation,,"Knowledge of electronics and related electrical engineering disciplines necessary for the research and development of sensors, electronic measurement devices, and instrumentation systems for aerospace systems and components.",,,,
Mechanical (*),(*),"Knowledge of machines and tools, including their designs, uses, benefits, repair, and maintenance.",,,,
Mechanical (†),(†),"Knowledge of machines and tools, including their designs, installation, uses, repair, and maintenance.",,,,
Mechanical Engineering,,"Knowledge of the concepts, principles, theories, and methods related to planning, designing, developing, testing, or evaluating thermodynamic, mechanical, electro-mechanical, pneumatic, hydraulic, or structural equipment, systems, models, tools, or specialized mechanical devices.",,,,
Mechanics,,"Knowledge of machines and tools, including their design, use, benefits, repair, operation, and maintenance.",,,,
Medicine and Dentistry,,"Knowledge of the diagnosis and treatment of injuries, diseases, and deformities, including preventive health-care measures.",,,,
Memory,,Recalls information that has been presented previously.,,,,
Mental Visualization,,"Sees things in the mind by mentally organizing and processing symbols, pictures, graphs, objects, or other information (for example, sees a building from a blueprint, or sees the flow of work activities from reading a work plan).",,,,
Metal Processing and Metalworking,,"Knowledge of materials, methods, and appropriate tools to process, treat, form, or shape metal.",,,,
Metallurgy,,"Knowledge of the concepts, principles, and theories related to the study of extracting, refining, alloying, and preparing metals for use; and their properties and behavior as affected by the composition, treatment in manufacture, and conditions of use.",,,,
Mine Safety and Health,,"Knowledge of mine safety and health principles and practices, techniques and procedures, regulations, and standards as they apply to conducting inspections/investigations, identifying and evaluating unsafe conditions, and recommending methods to correct unsafe conditions.",,,,
Mining Engineering,,"Knowledge of the concepts, principles, theories, and methods related to rock mechanics; the exploration, excavation, extraction, processing and transporting of mineral resources; and the conservation and development of mineral lands, materials, and deposits.",,,,
Modeling and Simulation,,"Knowledge of the tools and techniques used to develop functional, physical, or prototype models and simulations for test and evaluation programs, the prediction of behavior and phenomena, and to visually communicate concepts.",,,,
Multimedia Technologies,,"Knowledge of the principles, methods, tools, and techniques to develop or apply technology using text, audio, graphics, or other media.",,,,
Negotiation,,Works with others towards an agreement that may involve exchanging specific resources or resolving differences.,,,,
Network Management,,"Knowledge of the operation, management, and maintenance of network and telecommunication systems and linked systems and peripherals.",,,,
